gene1256	K01751
gene1257	K01752
gene1258	K01753
gene1259	K01754
gene1260	K01755
gene1261	K01756
gene1262	K01758
gene1263	K01759
gene1264	K01760
gene1265	K01761
gene1266	K01766
gene1267	K01768
gene1268	K01769
gene1269	K01770
gene1270	K01771
gene1271	K01772
gene1272	K01774
gene1273	K01775
gene1274	K01776
gene1275	K01777
gene1276	K01778
gene1277	K01779
gene1278	K01780
gene1279	K01781
gene1280	K01782
gene1281	K01783
gene1282	K01784
gene1283	K01785
gene1284	K01786
gene1285	K01787
gene1286	K01788
gene1287	K01789
gene1288	K01790
gene1289	K01791
gene1290	K01792
gene1291	K01795
gene1292	K01796
gene1293	K01797
gene1294	K01798
gene1295	K01799
gene1296	K01800
gene1297	K01802
gene1298	K01803
gene1299	K01804
gene1300	K01805
gene1301	K01807
gene1302	K01808
gene1303	K01809
gene1304	K01810
gene1305	K01811
gene1306	K01812
gene1307	K01813
gene1308	K01814
gene1309	K01815
gene1310	K01816
gene1311	K01817
gene1312	K01818
gene1313	K01819
gene1314	K01820
gene1315	K01821
gene1316	K01822
gene1317	K01823
gene1318	K01824
gene1319	K01825
gene1320	K01826
gene1321	K01828
gene1322	K01829
gene1323	K01833
gene1324	K01834
gene1325	K01835
gene1326	K01836
gene1327	K01838
gene1328	K01839
gene1329	K01840
gene1330	K01841
gene1331	K01842
gene1332	K01843
gene1333	K01844
gene1334	K01845
gene1335	K01846
gene1336	K01847
gene1337	K01848
gene1338	K01849
gene1339	K01850
gene1340	K01851
gene1341	K01854
gene1342	K01855
gene1343	K01856
gene1344	K01857
gene1345	K01858
gene1346	K01860
gene1347	K01865
gene1348	K01866
gene1349	K01867
gene1350	K01868
gene1351	K01869
gene1352	K01870
gene1353	K01872
gene1354	K01873
gene1355	K01874
gene1356	K01875
gene1357	K01876
gene1358	K01878
gene1359	K01879
gene1360	K01880
gene1361	K01881
gene1362	K01883
gene1363	K01884
gene1364	K01885
gene1365	K01886
gene1366	K01887
gene1367	K01889
gene1368	K01890
gene1369	K01892
gene1370	K01893
gene1371	K01894
gene1372	K01895
gene1373	K01897
gene1374	K01899
gene1375	K01900
gene1376	K01902
gene1377	K01903
gene1378	K01904
gene1379	K01905
gene1380	K01906
gene1381	K01907
gene1382	K01908
gene1383	K01909
gene1384	K01910
gene1385	K01911
gene1386	K01912
gene1387	K01913
gene1388	K01914
gene1389	K01915
gene1390	K01916
gene1391	K01917
gene1392	K01918
gene1393	K01919
gene1394	K01920
gene1395	K01921
gene1396	K01922
gene1397	K01923
gene1398	K01924
gene1399	K01925
gene1400	K01926
gene1401	K01928
gene1402	K01929
gene1403	K01930
gene1404	K01932
gene1405	K01933
gene1406	K01934
gene1407	K01935
gene1408	K01937
gene1409	K01938
gene1410	K01939
gene1411	K01940
gene1412	K01941
gene1413	K01942
gene1414	K01945
gene1415	K01947
gene1416	K01948
gene1417	K01950
gene1418	K01951
gene1419	K01952
gene1420	K01953
gene1421	K01955
gene1422	K01956
gene1423	K01957
gene1424	K01958
gene1425	K01959
gene1426	K01960
gene1427	K01961
gene1428	K01962
gene1429	K01963
gene1430	K01965
gene1431	K01966
gene1432	K01968
gene1433	K01969
gene1434	K01971
gene1435	K01972
gene1436	K01973
gene1437	K01974
gene1438	K01975
gene1439	K01976
gene1440	K01989
gene1441	K01990
gene1442	K01991
gene1443	K01992
gene1444	K01993
gene1445	K01994
gene1446	K01995
gene1447	K01996
gene1448	K01997
gene1449	K01998
gene1450	K01999
gene1451	K02000
gene1452	K02001
gene1453	K02002
gene1454	K02003
gene1455	K02004
gene1456	K02005
gene1457	K02006
gene1458	K02007
gene1459	K02008
gene1460	K02009
gene1461	K02010
gene1462	K02011
gene1463	K02012
gene1464	K02013
gene1465	K02014
gene1466	K02015
gene1467	K02016
gene1468	K02017
gene1469	K02018
gene1470	K02019
gene1471	K02020
gene1472	K02021
gene1473	K02022
gene1474	K02023
gene1475	K02024
gene1476	K02025
gene1477	K02026
gene1478	K02027
gene1479	K02028
gene1480	K02029
gene1481	K02030
gene1482	K02031
gene1483	K02032
gene1484	K02033
gene1485	K02034
gene1486	K02035
gene1487	K02036
gene1488	K02037
gene1489	K02038
gene1490	K02039
gene1491	K02040
gene1492	K02041
gene1493	K02042
gene1494	K02043
gene1495	K02044
gene1496	K02045
gene1497	K02046
gene1498	K02047
gene1499	K02048
gene1500	K02049
gene1501	K02050
gene1502	K02051
gene1503	K02052
gene1504	K02053
gene1505	K02054
gene1506	K02055
gene1507	K02056
gene1508	K02057
gene1509	K02058
gene1510	K02059
gene1511	K02061
gene1512	K02062
gene1513	K02063
gene1514	K02064
gene1515	K02065
gene1516	K02066
gene1517	K02067
gene1518	K02068
gene1519	K02069
gene1520	K02071
gene1521	K02072
gene1522	K02073
gene1523	K02074
gene1524	K02075
gene1525	K02076
gene1526	K02077
gene1527	K02078
gene1528	K02079
gene1529	K02080
gene1530	K02081
gene1531	K02082
gene1532	K02083
gene1533	K02086
gene1534	K02087
gene1535	K02090
gene1536	K02099
gene1537	K02100
gene1538	K02101
gene1539	K02102
gene1540	K02103
gene1541	K02106
gene1542	K02108
gene1543	K02109
gene1544	K02110
gene1545	K02111
gene1546	K02112
gene1547	K02113
gene1548	K02114
gene1549	K02115
gene1550	K02116
gene1551	K02117
gene1552	K02118
gene1553	K02119
gene1554	K02120
gene1555	K02121
gene1556	K02122
gene1557	K02123
gene1558	K02124
gene1559	K02132
gene1560	K02133
gene1561	K02144
gene1562	K02145
gene1563	K02146
gene1564	K02147
gene1565	K02148
gene1566	K02149
gene1567	K02150
gene1568	K02154
gene1569	K02155
gene1570	K02156
gene1571	K02160
gene1572	K02167
gene1573	K02168
gene1574	K02169
gene1575	K02170
gene1576	K02172
gene1577	K02173
gene1578	K02178
gene1579	K02180
gene1580	K02182
gene1581	K02183
gene1582	K02184
gene1583	K02188
gene1584	K02189
gene1585	K02190
gene1586	K02191
gene1587	K02192
gene1588	K02193
gene1589	K02194
gene1590	K02195
gene1591	K02196
gene1592	K02197
gene1593	K02198
gene1594	K02199
gene1595	K02200
gene1596	K02201
gene1597	K02202
gene1598	K02203
gene1599	K02204
gene1600	K02205
gene1601	K02206
gene1602	K02208
gene1603	K02209
gene1604	K02210
gene1605	K02212
gene1606	K02213
gene1607	K02214
gene1608	K02217
gene1609	K02218
gene1610	K02219
gene1611	K02220
gene1612	K02221
gene1613	K02224
gene1614	K02226
gene1615	K02227
gene1616	K02230
gene1617	K02231
gene1618	K02232
gene1619	K02233
gene1620	K02234
gene1621	K02236
gene1622	K02237
gene1623	K02238
gene1624	K02240
gene1625	K02241
gene1626	K02242
gene1627	K02243
gene1628	K02244
gene1629	K02245
gene1630	K02246
gene1631	K02248
gene1632	K02250
gene1633	K02255
gene1634	K02256
gene1635	K02259
gene1636	K02261
gene1637	K02266
gene1638	K02274
gene1639	K02275
gene1640	K02276
gene1641	K02278
gene1642	K02279
gene1643	K02280
gene1644	K02281
gene1645	K02282
gene1646	K02283
gene1647	K02288
gene1648	K02289
gene1649	K02291
gene1650	K02292
gene1651	K02293
gene1652	K02297
gene1653	K02298
gene1654	K02299
gene1655	K02300
gene1656	K02301
gene1657	K02302
gene1658	K02303
gene1659	K02304
gene1660	K02312
gene1661	K02313
gene1662	K02314
gene1663	K02315
gene1664	K02316
gene1665	K02317
gene1666	K02319
