gene548	K00825
gene549	K00826
gene550	K00830
gene551	K00831
gene552	K00832
gene553	K00833
gene554	K00835
gene555	K00836
gene556	K00837
gene557	K00839
gene558	K00840
gene559	K00841
gene560	K00842
gene561	K00843
gene562	K00844
gene563	K00845
gene564	K00846
gene565	K00847
gene566	K00848
gene567	K00849
gene568	K00850
gene569	K00851
gene570	K00852
gene571	K00853
gene572	K00854
gene573	K00855
gene574	K00856
gene575	K00857
gene576	K00858
gene577	K00859
gene578	K00860
gene579	K00861
gene580	K00863
gene581	K00864
gene582	K00865
gene583	K00866
gene584	K00867
gene585	K00868
gene586	K00869
gene587	K00870
gene588	K00871
gene589	K00872
gene590	K00873
gene591	K00874
gene592	K00875
gene593	K00876
gene594	K00877
gene595	K00878
gene596	K00879
gene597	K00880
gene598	K00881
gene599	K00882
gene600	K00883
gene601	K00884
gene602	K00885
gene603	K00886
gene604	K00888
gene605	K00889
gene606	K00891
gene607	K00892
gene608	K00893
gene609	K00894
gene610	K00895
gene611	K00897
gene612	K00899
gene613	K00901
gene614	K00902
gene615	K00903
gene616	K00904
gene617	K00906
gene618	K00908
gene619	K00909
gene620	K00912
gene621	K00914
gene622	K00917
gene623	K00918
gene624	K00919
gene625	K00921
gene626	K00922
gene627	K00923
gene628	K00924
gene629	K00925
gene630	K00926
gene631	K00927
gene632	K00928
gene633	K00929
gene634	K00930
gene635	K00931
gene636	K00932
gene637	K00933
gene638	K00934
gene639	K00936
gene640	K00937
gene641	K00938
gene642	K00939
gene643	K00940
gene644	K00941
gene645	K00942
gene646	K00943
gene647	K00945
gene648	K00946
gene649	K00947
gene650	K00948
gene651	K00949
gene652	K00950
gene653	K00951
gene654	K00952
gene655	K00953
gene656	K00954
gene657	K00955
gene658	K00956
gene659	K00957
gene660	K00958
gene661	K00960
gene662	K00961
gene663	K00962
gene664	K00963
gene665	K00965
gene666	K00966
gene667	K00967
gene668	K00968
gene669	K00969
gene670	K00970
gene671	K00971
gene672	K00972
gene673	K00973
gene674	K00974
gene675	K00975
gene676	K00978
gene677	K00979
gene678	K00980
gene679	K00981
gene680	K00982
gene681	K00983
gene682	K00984
gene683	K00985
gene684	K00986
gene685	K00987
gene686	K00988
gene687	K00989
gene688	K00990
gene689	K00991
gene690	K00992
gene691	K00993
gene692	K00995
gene693	K00996
gene694	K00997
gene695	K00998
gene696	K00999
gene697	K01000
gene698	K01001
gene699	K01002
gene700	K01003
gene701	K01005
gene702	K01006
gene703	K01007
gene704	K01008
gene705	K01011
gene706	K01012
gene707	K01023
gene708	K01026
gene709	K01027
gene710	K01028
gene711	K01029
gene712	K01034
gene713	K01035
gene714	K01036
gene715	K01039
gene716	K01040
gene717	K01041
gene718	K01042
gene719	K01043
gene720	K01044
gene721	K01046
gene722	K01048
gene723	K01051
gene724	K01052
gene725	K01053
gene726	K01054
gene727	K01055
gene728	K01056
gene729	K01057
gene730	K01058
gene731	K01060
gene732	K01061
gene733	K01062
gene734	K01066
gene735	K01067
gene736	K01068
gene737	K01069
gene738	K01070
gene739	K01071
gene740	K01072
gene741	K01073
gene742	K01074
gene743	K01075
gene744	K01076
gene745	K01077
gene746	K01078
gene747	K01079
gene748	K01080
gene749	K01081
gene750	K01082
gene751	K01083
gene752	K01085
gene753	K01087
gene754	K01089
gene755	K01090
gene756	K01091
gene757	K01092
gene758	K01093
gene759	K01095
gene760	K01096
gene761	K01099
gene762	K01101
gene763	K01102
gene764	K01103
gene765	K01104
gene766	K01106
gene767	K01110
gene768	K01112
gene769	K01113
gene770	K01114
gene771	K01115
gene772	K01116
gene773	K01117
gene774	K01118
gene775	K01119
gene776	K01120
gene777	K01121
gene778	K01125
gene779	K01126
gene780	K01127
gene781	K01128
gene782	K01129
gene783	K01130
gene784	K01133
gene785	K01134
gene786	K01135
gene787	K01136
gene788	K01137
gene789	K01138
gene790	K01139
gene791	K01141
gene792	K01142
gene793	K01143
gene794	K01144
gene795	K01146
gene796	K01147
gene797	K01148
gene798	K01150
gene799	K01151
gene800	K01152
gene801	K01153
gene802	K01154
gene803	K01155
gene804	K01156
gene805	K01157
gene806	K01158
gene807	K01159
gene808	K01160
gene809	K01161
gene810	K01163
gene811	K01164
gene812	K01166
gene813	K01167
gene814	K01169
gene815	K01170
gene816	K01173
gene817	K01174
gene818	K01175
gene819	K01176
gene820	K01178
gene821	K01179
gene822	K01180
gene823	K01181
gene824	K01182
gene825	K01183
gene826	K01184
gene827	K01185
gene828	K01186
gene829	K01187
gene830	K01188
gene831	K01190
gene832	K01191
gene833	K01192
gene834	K01193
gene835	K01194
gene836	K01195
gene837	K01196
gene838	K01197
gene839	K01198
gene840	K01199
gene841	K01200
gene842	K01201
gene843	K01202
gene844	K01204
gene845	K01205
gene846	K01206
gene847	K01207
gene848	K01208
gene849	K01209
gene850	K01210
gene851	K01212
gene852	K01213
gene853	K01214
gene854	K01215
gene855	K01216
gene856	K01218
gene857	K01219
gene858	K01220
gene859	K01222
gene860	K01223
gene861	K01224
gene862	K01225
gene863	K01226
gene864	K01227
gene865	K01228
gene866	K01230
gene867	K01231
gene868	K01232
gene869	K01233
gene870	K01234
gene871	K01235
gene872	K01236
gene873	K01238
gene874	K01239
gene875	K01241
gene876	K01243
gene877	K01246
gene878	K01247
gene879	K01249
gene880	K01250
gene881	K01251
gene882	K01252
gene883	K01253
gene884	K01254
gene885	K01255
gene886	K01256
gene887	K01258
gene888	K01259
gene889	K01260
gene890	K01261
gene891	K01262
gene892	K01263
gene893	K01264
gene894	K01265
gene895	K01266
gene896	K01267
gene897	K01268
gene898	K01269
gene899	K01270
gene900	K01271
gene901	K01273
gene902	K01274
gene903	K01275
gene904	K01277
gene905	K01278
gene906	K01281
gene907	K01282
gene908	K01283
gene909	K01284
gene910	K01286
gene911	K01289
gene912	K01293
gene913	K01295
gene914	K01296
gene915	K01297
gene916	K01299
gene917	K01301
gene918	K01303
gene919	K01304
gene920	K01305
gene921	K01307
gene922	K01308
gene923	K01318
gene924	K01322
gene925	K01336
gene926	K01337
gene927	K01338
gene928	K01341
gene929	K01342
gene930	K01344
gene931	K01347
gene932	K01354
gene933	K01355
gene934	K01356
gene935	K01358
gene936	K01361
gene937	K01362
gene938	K01363
gene939	K01364
gene940	K01365
gene941	K01366
gene942	K01369
gene943	K01372
gene944	K01373
gene945	K01376
gene946	K01379
gene947	K01381
gene948	K01382
gene949	K01386
gene950	K01387
gene951	K01390
gene952	K01392
gene953	K01400
gene954	K01401
gene955	K01404
gene956	K01406
gene957	K01407
gene958	K01408
gene959	K01409
gene960	K01412
gene961	K01414
gene962	K01415
gene963	K01417
gene964	K01419
gene965	K01420
gene966	K01421
gene967	K01422
gene968	K01423
gene969	K01424
gene970	K01425
gene971	K01426
gene972	K01427
gene973	K01428
gene974	K01429
gene975	K01430
gene976	K01431
gene977	K01433
gene978	K01434
gene979	K01436
gene980	K01437
gene981	K01438
gene982	K01439
gene983	K01440
gene984	K01442
gene985	K01443
gene986	K01444
gene987	K01446
gene988	K01447
gene989	K01448
gene990	K01449
gene991	K01451
gene992	K01452
gene993	K01453
gene994	K01454
gene995	K01455
gene996	K01456
gene997	K01457
gene998	K01458
gene999	K01459
gene1000	K01460
gene1001	K01461
gene1002	K01462
gene1003	K01463
gene1004	K01464
gene1005	K01465
gene1006	K01466
gene1007	K01467
gene1008	K01468
gene1009	K01469
gene1010	K01470
gene1011	K01473
gene1012	K01474
gene1013	K01476
gene1014	K01478
gene1015	K01479
gene1016	K01480
gene1017	K01482
gene1018	K01483
gene1019	K01484
gene1020	K01485
gene1021	K01486
gene1022	K01487
gene1023	K01488
gene1024	K01489
gene1025	K01490
gene1026	K01491
gene1027	K01492
gene1028	K01493
gene1029	K01494
gene1030	K01495
gene1031	K01496
gene1032	K01497
gene1033	K01499
gene1034	K01500
gene1035	K01501
gene1036	K01502
gene1037	K01505
gene1038	K01506
gene1039	K01507
gene1040	K01509
gene1041	K01512
gene1042	K01513
gene1043	K01514
gene1044	K01515
gene1045	K01516
gene1046	K01517
gene1047	K01518
gene1048	K01519
gene1049	K01520
gene1050	K01521
gene1051	K01522
gene1052	K01523
gene1053	K01524
gene1054	K01525
gene1055	K01527
gene1056	K01528
gene1057	K01529
gene1058	K01530
gene1059	K01531
gene1060	K01533
gene1061	K01534
gene1062	K01535
gene1063	K01537
gene1064	K01539
gene1065	K01541
gene1066	K01546
gene1067	K01547
gene1068	K01548
gene1069	K01551
gene1070	K01552
gene1071	K01553
gene1072	K01554
gene1073	K01556
gene1074	K01557
gene1075	K01560
gene1076	K01561
gene1077	K01563
gene1078	K01564
gene1079	K01565
gene1080	K01567
gene1081	K01568
gene1082	K01569
gene1083	K01571
gene1084	K01572
gene1085	K01573
gene1086	K01574
gene1087	K01575
gene1088	K01577
gene1089	K01579
gene1090	K01580
gene1091	K01581
gene1092	K01582
gene1093	K01583
gene1094	K01584
gene1095	K01585
gene1096	K01586
gene1097	K01588
gene1098	K01589
gene1099	K01590
gene1100	K01591
gene1101	K01592
gene1102	K01593
gene1103	K01594
gene1104	K01595
gene1105	K01596
gene1106	K01597
gene1107	K01598
gene1108	K01599
gene1109	K01601
gene1110	K01607
gene1111	K01608
gene1112	K01609
gene1113	K01610
gene1114	K01611
gene1115	K01612
gene1116	K01613
gene1117	K01615
gene1118	K01617
gene1119	K01618
gene1120	K01619
gene1121	K01620
gene1122	K01621
gene1123	K01622
gene1124	K01623
