gene548	K00894
gene549	K00895
gene550	K00897
gene551	K00899
gene552	K00901
gene553	K00902
gene554	K00903
gene555	K00904
gene556	K00908
gene557	K00912
gene558	K00917
gene559	K00918
gene560	K00919
gene561	K00924
gene562	K00925
gene563	K00926
gene564	K00927
gene565	K00928
gene566	K00929
gene567	K00930
gene568	K00931
gene569	K00934
gene570	K00936
gene571	K00937
gene572	K00938
gene573	K00939
gene574	K00940
gene575	K00941
gene576	K00942
gene577	K00943
gene578	K00944
gene579	K00945
gene580	K00946
gene581	K00947
gene582	K00948
gene583	K00949
gene584	K00950
gene585	K00951
gene586	K00952
gene587	K00953
gene588	K00954
gene589	K00955
gene590	K00956
gene591	K00957
gene592	K00958
gene593	K00960
gene594	K00961
gene595	K00962
gene596	K00963
gene597	K00965
gene598	K00966
gene599	K00968
gene600	K00969
gene601	K00970
gene602	K00971
gene603	K00972
gene604	K00973
gene605	K00974
gene606	K00975
gene607	K00978
gene608	K00979
gene609	K00980
gene610	K00981
gene611	K00982
gene612	K00983
gene613	K00984
gene614	K00985
gene615	K00986
gene616	K00987
gene617	K00989
gene618	K00990
gene619	K00991
gene620	K00992
gene621	K00993
gene622	K00995
gene623	K00996
gene624	K00997
gene625	K00998
gene626	K01000
gene627	K01001
gene628	K01002
gene629	K01003
gene630	K01005
gene631	K01006
gene632	K01007
gene633	K01008
gene634	K01011
gene635	K01012
gene636	K01013
gene637	K01023
gene638	K01026
gene639	K01028
gene640	K01029
gene641	K01034
gene642	K01035
gene643	K01036
gene644	K01039
gene645	K01040
gene646	K01041
gene647	K01042
gene648	K01043
gene649	K01044
gene650	K01046
gene651	K01048
gene652	K01051
gene653	K01053
gene654	K01054
gene655	K01055
gene656	K01056
gene657	K01057
gene658	K01058
gene659	K01060
gene660	K01062
gene661	K01066
gene662	K01067
gene663	K01068
gene664	K01069
gene665	K01070
gene666	K01071
gene667	K01073
gene668	K01075
gene669	K01076
gene670	K01077
gene671	K01078
gene672	K01079
gene673	K01081
gene674	K01083
gene675	K01085
gene676	K01087
gene677	K01089
gene678	K01090
gene679	K01091
gene680	K01092
gene681	K01093
gene682	K01095
gene683	K01096
gene684	K01099
gene685	K01101
gene686	K01103
gene687	K01104
gene688	K01112
gene689	K01113
gene690	K01114
gene691	K01115
gene692	K01117
gene693	K01118
gene694	K01119
gene695	K01120
gene696	K01121
gene697	K01126
gene698	K01127
gene699	K01128
gene700	K01129
gene701	K01130
gene702	K01132
gene703	K01133
gene704	K01134
gene705	K01135
gene706	K01136
gene707	K01137
gene708	K01138
gene709	K01139
gene710	K01141
gene711	K01142
gene712	K01143
gene713	K01144
gene714	K01147
gene715	K01150
gene716	K01151
gene717	K01152
gene718	K01153
gene719	K01154
gene720	K01155
gene721	K01156
gene722	K01157
gene723	K01158
gene724	K01159
gene725	K01160
gene726	K01161
gene727	K01163
gene728	K01167
gene729	K01170
gene730	K01173
gene731	K01174
gene732	K01175
gene733	K01176
gene734	K01178
gene735	K01179
gene736	K01180
gene737	K01181
gene738	K01182
gene739	K01183
gene740	K01184
gene741	K01185
gene742	K01186
gene743	K01187
gene744	K01188
gene745	K01190
gene746	K01191
gene747	K01192
gene748	K01193
gene749	K01194
gene750	K01195
gene751	K01197
gene752	K01198
gene753	K01199
gene754	K01200
gene755	K01201
gene756	K01202
gene757	K01205
gene758	K01206
gene759	K01207
gene760	K01208
gene761	K01209
gene762	K01210
gene763	K01212
gene764	K01213
gene765	K01214
gene766	K01215
gene767	K01216
gene768	K01218
gene769	K01219
gene770	K01220
gene771	K01222
gene772	K01223
gene773	K01224
gene774	K01225
gene775	K01226
gene776	K01227
gene777	K01228
gene778	K01232
gene779	K01233
gene780	K01234
gene781	K01235
gene782	K01236
gene783	K01238
gene784	K01239
gene785	K01241
gene786	K01243
gene787	K01246
gene788	K01247
gene789	K01249
gene790	K01250
gene791	K01251
gene792	K01252
gene793	K01253
gene794	K01255
gene795	K01256
gene796	K01258
gene797	K01259
gene798	K01261
gene799	K01262
gene800	K01263
gene801	K01264
gene802	K01265
gene803	K01266
gene804	K01267
gene805	K01269
gene806	K01270
gene807	K01271
gene808	K01273
gene809	K01274
gene810	K01277
gene811	K01278
gene812	K01281
gene813	K01283
gene814	K01284
gene815	K01286
gene816	K01289
gene817	K01293
gene818	K01295
gene819	K01297
gene820	K01299
gene821	K01301
gene822	K01303
gene823	K01304
gene824	K01305
gene825	K01308
gene826	K01318
gene827	K01322
gene828	K01337
gene829	K01338
gene830	K01341
gene831	K01342
gene832	K01344
gene833	K01347
gene834	K01354
gene835	K01355
gene836	K01356
gene837	K01358
gene838	K01361
gene839	K01362
gene840	K01363
gene841	K01364
gene842	K01365
gene843	K01369
gene844	K01372
gene845	K01376
gene846	K01387
gene847	K01390
gene848	K01392
gene849	K01400
gene850	K01406
gene851	K01408
gene852	K01409
gene853	K01412
gene854	K01414
gene855	K01415
gene856	K01417
gene857	K01419
gene858	K01420
gene859	K01421
gene860	K01422
gene861	K01423
gene862	K01424
gene863	K01425
gene864	K01426
gene865	K01428
gene866	K01429
gene867	K01430
gene868	K01433
gene869	K01436
gene870	K01437
gene871	K01438
gene872	K01439
gene873	K01440
gene874	K01442
gene875	K01443
gene876	K01444
gene877	K01446
gene878	K01447
gene879	K01448
gene880	K01449
gene881	K01451
gene882	K01452
gene883	K01453
gene884	K01455
gene885	K01457
gene886	K01458
gene887	K01459
gene888	K01461
gene889	K01462
gene890	K01463
gene891	K01464
gene892	K01465
gene893	K01466
gene894	K01467
gene895	K01468
gene896	K01470
gene897	K01473
gene898	K01474
gene899	K01476
gene900	K01478
gene901	K01479
gene902	K01480
gene903	K01482
gene904	K01483
gene905	K01485
gene906	K01486
gene907	K01487
gene908	K01488
gene909	K01489
gene910	K01491
gene911	K01492
gene912	K01493
gene913	K01494
gene914	K01495
gene915	K01496
gene916	K01497
gene917	K01499
gene918	K01500
gene919	K01501
gene920	K01502
gene921	K01505
gene922	K01506
gene923	K01507
gene924	K01509
gene925	K01510
gene926	K01512
gene927	K01513
gene928	K01515
gene929	K01516
gene930	K01517
gene931	K01518
gene932	K01520
gene933	K01522
gene934	K01523
gene935	K01524
gene936	K01525
gene937	K01529
gene938	K01530
gene939	K01531
gene940	K01533
gene941	K01534
gene942	K01535
gene943	K01537
gene944	K01539
gene945	K01541
gene946	K01546
gene947	K01547
gene948	K01548
gene949	K01551
gene950	K01552
gene951	K01553
gene952	K01554
gene953	K01557
gene954	K01560
gene955	K01561
gene956	K01563
gene957	K01564
gene958	K01565
gene959	K01567
gene960	K01569
gene961	K01571
gene962	K01572
gene963	K01573
gene964	K01574
gene965	K01575
gene966	K01577
gene967	K01579
gene968	K01580
gene969	K01581
gene970	K01582
gene971	K01583
gene972	K01584
gene973	K01585
gene974	K01586
gene975	K01588
gene976	K01589
gene977	K01590
gene978	K01591
gene979	K01592
gene980	K01595
gene981	K01596
gene982	K01597
gene983	K01598
gene984	K01599
gene985	K01601
gene986	K01607
gene987	K01609
gene988	K01610
gene989	K01611
gene990	K01612
gene991	K01613
gene992	K01615
gene993	K01617
gene994	K01618
gene995	K01619
gene996	K01620
gene997	K01621
gene998	K01622
gene999	K01623
gene1000	K01624
gene1001	K01625
gene1002	K01626
gene1003	K01627
gene1004	K01628
gene1005	K01629
gene1006	K01630
gene1007	K01631
gene1008	K01632
gene1009	K01633
gene1010	K01635
gene1011	K01636
gene1012	K01639
gene1013	K01640
gene1014	K01641
gene1015	K01643
gene1016	K01644
gene1017	K01646
