gene602	K00936
gene603	K00937
gene604	K00938
gene605	K00939
gene606	K00940
gene607	K00941
gene608	K00942
gene609	K00943
gene610	K00945
gene611	K00946
gene612	K00947
gene613	K00948
gene614	K00949
gene615	K00950
gene616	K00951
gene617	K00952
gene618	K00954
gene619	K00955
gene620	K00956
gene621	K00957
gene622	K00958
gene623	K00961
gene624	K00962
gene625	K00963
gene626	K00965
gene627	K00966
gene628	K00968
gene629	K00969
gene630	K00970
gene631	K00971
gene632	K00972
gene633	K00973
gene634	K00974
gene635	K00975
gene636	K00978
gene637	K00979
gene638	K00980
gene639	K00981
gene640	K00982
gene641	K00983
gene642	K00984
gene643	K00985
gene644	K00986
gene645	K00989
gene646	K00990
gene647	K00991
gene648	K00992
gene649	K00995
gene650	K00996
gene651	K00997
gene652	K00998
gene653	K01000
gene654	K01002
gene655	K01003
gene656	K01004
gene657	K01005
gene658	K01006
gene659	K01007
gene660	K01008
gene661	K01011
gene662	K01012
gene663	K01013
gene664	K01023
gene665	K01026
gene666	K01027
gene667	K01028
gene668	K01029
gene669	K01031
gene670	K01032
gene671	K01034
gene672	K01035
gene673	K01036
gene674	K01039
gene675	K01040
gene676	K01041
gene677	K01042
gene678	K01043
gene679	K01044
gene680	K01046
gene681	K01048
gene682	K01051
gene683	K01053
gene684	K01054
gene685	K01055
gene686	K01056
gene687	K01057
gene688	K01058
gene689	K01060
gene690	K01061
gene691	K01062
gene692	K01066
gene693	K01067
gene694	K01068
gene695	K01069
gene696	K01070
gene697	K01071
gene698	K01072
gene699	K01073
gene700	K01076
gene701	K01077
gene702	K01078
gene703	K01079
gene704	K01081
gene705	K01083
gene706	K01085
gene707	K01087
gene708	K01089
gene709	K01090
gene710	K01091
gene711	K01092
gene712	K01093
gene713	K01095
gene714	K01096
gene715	K01101
gene716	K01103
gene717	K01104
gene718	K01111
gene719	K01112
gene720	K01113
gene721	K01114
gene722	K01115
gene723	K01118
gene724	K01119
gene725	K01120
gene726	K01121
gene727	K01126
gene728	K01127
gene729	K01128
gene730	K01129
gene731	K01130
gene732	K01132
gene733	K01133
gene734	K01134
gene735	K01135
gene736	K01136
gene737	K01137
gene738	K01138
gene739	K01139
gene740	K01141
gene741	K01142
gene742	K01143
gene743	K01144
gene744	K01146
gene745	K01147
gene746	K01150
gene747	K01151
gene748	K01152
gene749	K01153
gene750	K01154
gene751	K01155
gene752	K01156
gene753	K01157
gene754	K01159
gene755	K01160
gene756	K01163
gene757	K01167
gene758	K01169
gene759	K01173
gene760	K01174
gene761	K01175
gene762	K01176
gene763	K01178
gene764	K01179
gene765	K01180
gene766	K01181
gene767	K01182
gene768	K01183
gene769	K01184
gene770	K01185
gene771	K01186
gene772	K01187
gene773	K01188
gene774	K01190
gene775	K01191
gene776	K01192
gene777	K01193
gene778	K01194
gene779	K01195
gene780	K01197
gene781	K01198
gene782	K01199
gene783	K01200
gene784	K01201
gene785	K01202
gene786	K01205
gene787	K01206
gene788	K01207
gene789	K01208
gene790	K01209
gene791	K01210
gene792	K01212
gene793	K01213
gene794	K01214
gene795	K01215
gene796	K01216
gene797	K01218
gene798	K01219
gene799	K01220
gene800	K01222
gene801	K01223
gene802	K01224
gene803	K01225
gene804	K01226
gene805	K01227
gene806	K01228
gene807	K01230
gene808	K01232
gene809	K01234
gene810	K01235
gene811	K01236
gene812	K01238
gene813	K01239
gene814	K01241
gene815	K01243
gene816	K01246
gene817	K01247
gene818	K01249
gene819	K01250
gene820	K01251
gene821	K01252
gene822	K01253
gene823	K01255
gene824	K01256
gene825	K01258
gene826	K01259
gene827	K01261
gene828	K01262
gene829	K01263
gene830	K01264
gene831	K01265
gene832	K01266
gene833	K01267
gene834	K01268
gene835	K01269
gene836	K01270
gene837	K01271
gene838	K01273
gene839	K01274
gene840	K01277
gene841	K01278
gene842	K01279
gene843	K01281
gene844	K01283
gene845	K01284
gene846	K01285
gene847	K01286
gene848	K01289
gene849	K01295
gene850	K01297
gene851	K01299
gene852	K01301
gene853	K01303
gene854	K01304
gene855	K01305
gene856	K01308
gene857	K01318
gene858	K01322
gene859	K01337
gene860	K01338
gene861	K01342
gene862	K01344
gene863	K01347
gene864	K01354
gene865	K01355
gene866	K01356
gene867	K01358
gene868	K01361
gene869	K01362
gene870	K01364
gene871	K01366
gene872	K01369
gene873	K01372
gene874	K01376
gene875	K01385
gene876	K01387
gene877	K01390
gene878	K01399
gene879	K01400
gene880	K01401
gene881	K01406
gene882	K01407
gene883	K01408
gene884	K01409
gene885	K01412
gene886	K01414
gene887	K01415
gene888	K01417
gene889	K01419
gene890	K01420
gene891	K01421
gene892	K01422
gene893	K01423
gene894	K01424
gene895	K01425
gene896	K01426
gene897	K01428
gene898	K01429
gene899	K01430
gene900	K01431
gene901	K01433
gene902	K01434
gene903	K01436
gene904	K01438
gene905	K01439
gene906	K01440
gene907	K01442
gene908	K01443
gene909	K01444
gene910	K01446
gene911	K01447
gene912	K01448
gene913	K01449
gene914	K01451
gene915	K01452
gene916	K01453
gene917	K01454
gene918	K01455
gene919	K01457
gene920	K01458
gene921	K01459
gene922	K01460
gene923	K01461
gene924	K01462
gene925	K01463
gene926	K01464
gene927	K01465
gene928	K01466
